Lambda,dvdl,#Frame,D248_chi1,D248_chi2,V249_chi1,V249_chi2,N250_chi1,N250_chi2,T251_chi1,S272_chi1,S285_chi1,R286_chi1,R286_chi2,R286_chi3,R286_chi4,R286_chi5,S287_chi1,D290_chi1,D290_chi2,F291_chi1,F291_chi2,T292_chi1,weight_dvdl
2,-32.5816,1853.0,-64.7673,-31.3908,-94.3935,132.0644,49.0796,57.4052,66.6711,177.1045,81.7105,-83.5994,-161.1951,-75.6482,93.1354,-6.9443,64.9924,-166.4864,-24.4121,-173.8563,-75.9759,65.6854,-1.7421381519999999
2,-31.252300000000005,1854.0,-71.6883,-15.8653,-76.4049,129.3963,152.1053,82.0701,53.6007,152.9368,74.792,-52.113,-172.5819,-63.1693,151.0546,9.4379,67.9122,179.6515,8.2308,-178.7309,-47.2322,57.5487,-1.6710604810000003
2,-34.7271,1855.0,-77.7569,-39.9723,-64.3169,123.3915,178.6332,122.788,48.6348,176.3673,42.5465,-46.2021,-164.8031,-60.4296,176.5287,-11.0288,50.2882,168.348,47.4919,-163.3661,-86.9007,62.4574,-1.8568580369999999
2,-34.9604,1856.0,-56.6175,-71.8196,-62.7716,131.0522,-176.5633,123.5428,69.4658,-170.2651,47.4641,-66.6569,176.6727,-62.5966,161.2668,19.8125,75.7811,-169.4971,-11.6783,-173.0541,-79.2964,72.2772,-1.8693325879999998
2,-32.6295,1857.0,-58.8313,-75.2379,-53.8754,120.8598,158.2243,104.4888,62.7621,169.2418,50.9655,-58.0055,-164.9323,-62.1426,172.5312,13.2438,65.6158,170.5358,1.5435,174.0049,-72.0422,65.2915,-1.744699365
2,-31.598,1858.0,-83.9446,-47.3429,-77.1615,129.9793,151.6376,43.091,53.6225,156.6658,47.0438,56.1111,179.6377,75.357,-99.3351,4.0587,79.2144,166.8728,30.5822,177.8025,-70.5999,59.0608,-1.68954506
2,-27.7629,1859.0,-68.0382,-37.595,-78.2346,130.3856,173.9439,-29.5714,56.1792,-179.4552,69.093,50.2943,-169.8685,60.2526,82.3888,-11.3934,51.7707,-174.8028,-11.0406,174.9536,-99.3658,64.2433,-1.4844822629999999
2,-31.694,1860.0,-65.7793,-17.6859,-70.311,127.3848,174.3773,-82.4355,55.9278,168.7988,74.5076,57.5002,179.901,22.3898,81.6676,-5.7542,69.1963,-156.5782,-19.4158,-178.6971,-79.9448,54.4268,-1.69467818
2,-36.0952,1861.0,-73.223,145.852,-62.101,125.2173,146.231,21.9931,53.0079,-167.008,45.2331,-58.4091,-177.1024,-176.8453,-94.6015,13.9776,83.8862,-164.1353,-22.3959,-179.9233,-61.9938,62.5621,-1.9300103439999998
2,-35.4897,1862.0,-92.4693,169.5707,-79.1034,125.7857,175.3874,4.1851,57.2518,178.47,42.1773,-54.3365,-174.2454,-164.1085,-86.5133,-21.6014,63.8841,171.232,10.3367,178.1046,-86.6739,63.0417,-1.897634259
2,-38.35920000000001,1863.0,-65.0394,104.606,-76.2178,124.4932,178.1132,-56.7609,71.2609,50.4719,56.4818,-42.1041,177.7797,-174.56,-99.8484,-8.2137,64.7382,-165.5339,-19.3958,168.9685,-83.0081,58.4642,-2.0510664240000005
2,-44.00430000000001,1864.0,-61.1816,156.406,-61.4875,127.1825,156.94,-67.2879,55.7863,45.8752,54.7475,-53.3909,-172.5042,179.2565,159.8424,11.4116,66.3307,170.5819,75.6217,178.4791,-69.5996,59.6243,-2.352909921
2,-40.8743,1865.0,-67.8511,150.509,-74.9341,129.6546,176.862,73.0972,59.711,55.0359,55.1457,-60.6068,154.2254,175.3481,58.9949,-0.4478,64.0769,-173.2064,-5.4378,-154.16,-93.6526,60.0764,-2.185548821
2,-40.0261,1866.0,-66.8076,-170.1284,-78.4533,124.5005,151.6295,-86.1246,61.6272,45.8525,59.3708,-65.2438,-161.9653,-172.6992,96.5576,6.9359,63.1884,171.4802,-11.4947,176.5464,-81.9177,66.5737,-2.1401955669999997
2,-33.1589,1867.0,-67.4582,160.5381,-71.1929,125.3557,157.3324,-78.8281,60.6897,58.863,58.7053,-43.0554,168.427,-163.7167,-82.8678,10.0533,59.3077,166.5059,18.9009,175.8062,-70.711,27.6052,-1.773006383
2,-34.1256,1868.0,-79.5375,176.5698,-77.5189,129.7765,140.0075,-72.1105,48.1077,64.1231,53.0227,-63.7395,-174.5276,-179.5898,-75.6258,-4.5528,59.1895,-171.0588,-13.997,174.7795,-76.0191,44.3843,-1.8246958319999997
2,-36.2518,1869.0,-87.0339,-23.8188,-61.492,125.5308,176.0271,-55.6675,59.3025,66.5585,60.1395,-60.0979,-67.6677,-174.1943,-76.0332,-2.1692,76.7025,-174.5013,5.5298,-177.038,-85.8842,40.976,-1.938383746
2,-47.9036,1870.0,-74.8445,-31.5903,-71.7391,131.7855,178.3691,-30.7192,40.4249,63.0796,60.4362,-52.8554,-68.7102,-161.9813,-163.6975,-1.677,52.3618,177.2942,2.6947,179.7145,-58.1825,72.192,-2.5614054919999996
2,-38.4515,1871.0,-67.1265,-50.4406,-70.7533,131.1305,165.841,101.8364,43.1843,46.6693,77.6247,-59.5218,-70.4528,174.4673,-79.2136,-0.0735,55.1801,-178.5473,-1.8611,170.3055,-93.4205,57.3134,-2.056001705
2,-41.5749,1872.0,-81.8649,1.9925,-70.3323,130.3572,159.3089,68.9027,71.6025,54.1988,54.6364,-62.4045,-166.5554,169.6145,-144.7888,-4.1067,54.6807,170.8132,39.6341,170.1381,-64.3952,53.7517,-2.223009903
2,-39.17300000000001,1873.0,-81.0969,-91.8837,-78.6545,133.1753,-178.6893,110.7247,39.3283,40.9669,63.4941,-54.6352,179.8937,-168.042,-85.2653,-0.5706,65.9913,-172.5418,2.7462,-173.2274,-71.8119,53.552,-2.0945803100000004
2,-38.3229,1874.0,-71.9398,-83.953,-76.8361,131.8586,-166.3967,-6.7062,72.289,57.3458,-60.3544,-57.4596,-61.8964,117.2531,153.4608,-4.069,64.7142,-172.4958,12.8387,169.8166,-73.698,58.945,-2.0491254629999998
2,-33.3707,1875.0,-74.623,-60.6837,-61.0197,135.825,162.3094,-78.1663,80.1963,37.8884,-64.654,-66.9745,-81.3499,87.2291,89.2183,3.9716,51.5728,167.431,-64.6065,171.9954,-74.2007,62.5557,-1.7843313289999998
2,-36.8722,1876.0,-54.7708,-56.9379,-62.0866,121.4487,-157.3281,-27.7619,68.1085,59.059,-56.2789,-53.9569,-60.8215,-167.3061,-139.0395,-6.4455,55.3014,169.904,-86.3338,178.6001,-75.8032,45.0181,-1.9715565339999999
2,-39.9532,1877.0,-75.2462,-48.8421,-72.4138,130.5677,-176.9418,-30.6506,69.0937,57.8335,-53.191,-61.5062,-68.7876,165.3698,-95.4816,19.5494,53.2535,167.1934,-59.7187,168.5729,-84.8917,63.1066,-2.136297604
2,-38.4679,1878.0,-56.2366,-67.0795,-78.1311,124.6018,158.4152,-19.8291,69.0118,40.7497,-66.186,-58.8308,-55.2833,-164.2988,-67.4134,3.8435,55.3856,169.1222,-64.9393,172.7224,-88.8055,61.0263,-2.056878613
2,-42.17490000000001,1879.0,-63.2017,-74.5752,-63.2143,126.8534,161.6997,-66.4773,64.0432,62.1609,-66.0443,-46.354,-51.9516,-162.5657,167.0628,7.3931,61.3684,157.3281,-72.4853,-178.3834,-86.5908,61.6679,-2.2550919030000003
2,-39.8767,1880.0,-50.2094,-61.1109,-60.4616,119.9425,162.9444,-88.1576,67.0658,51.5167,-56.5924,-55.8061,-64.316,-170.26,-156.2425,-9.1492,65.9833,156.269,-90.8613,166.9638,-52.948,56.3509,-2.1322071489999996
2,-29.0574,1881.0,-69.7616,-74.3188,-80.9731,131.8415,170.8151,-71.4359,82.0705,37.5825,-62.0899,-56.322,-76.9286,-177.0317,-81.9233,3.5934,51.1312,177.7695,-81.3929,174.7078,-83.088,69.282,-1.553699178
2,-39.93410000000001,1882.0,-59.3426,111.2294,-46.7973,126.2497,163.2492,-41.9196,53.7114,65.2667,-58.6413,-47.7686,-65.7114,84.7266,-156.6405,0.0385,54.0025,167.5154,-48.248,163.5298,-85.1836,61.8957,-2.135276327
2,-48.782,1883.0,-71.7432,-104.0183,-58.8971,125.5828,169.543,138.1459,67.5171,64.9948,-63.0471,-38.6094,-72.7318,66.8138,-147.2094,-0.5526,59.3504,-175.0223,-83.381,-178.4266,-96.3909,59.1206,-2.6083735399999997
2,-32.7622,1884.0,-60.653,-83.4304,-70.4264,125.3808,179.7686,74.1057,59.7007,-63.1999,-58.8464,-49.1812,-73.3148,78.2685,151.9133,-2.9385,53.0294,174.0462,-26.5078,179.4151,-87.1014,42.0912,-1.7517948339999998
2,-40.432300000000005,1885.0,-48.8165,-108.4922,-64.5886,128.6667,156.9597,82.4948,61.3833,-73.6349,-65.5683,-58.5178,-62.4431,91.177,-163.1347,-14.394,63.8142,176.1541,99.9733,169.4499,-74.7869,63.8234,-2.161915081
2,-30.237600000000004,1886.0,-57.3229,-87.1415,-76.4175,121.2928,172.1802,20.7779,51.2206,-57.2504,-80.1806,-44.9272,-91.2101,81.9024,80.1791,-9.7544,55.1528,169.4331,90.5325,-178.1231,-82.2882,50.3696,-1.616804472
2,-28.5794,1887.0,-63.1894,-66.3031,-71.6876,121.0789,161.7377,-23.3666,75.3595,-71.8575,-76.353,-45.7073,-58.6223,-169.4633,-83.0728,-3.6096,59.3033,-177.5768,122.5876,171.6583,-77.1122,49.6651,-1.5281405179999998
2,-28.6216,1888.0,-57.1474,-100.7947,-52.2684,123.3995,155.8737,14.8114,56.418,-72.2187,-65.1776,-40.4242,-61.0961,-172.0208,-101.9461,-15.8214,73.5861,177.4436,113.6277,-166.6825,-86.0703,56.6598,-1.530396952
2,-42.5927,1889.0,-66.2162,-22.8731,-76.4553,134.5249,168.8852,134.929,75.8479,-58.5123,-59.2384,-40.8843,-71.9178,-178.7527,-65.9363,2.6718,53.7152,178.4439,104.4177,-176.1201,-83.5275,57.2669,-2.277431669
2,-33.6559,1890.0,-55.085,-98.2349,-76.6648,127.9977,164.2101,111.9952,56.709,-70.4161,-52.7716,-48.3475,-62.6105,-164.6791,-80.4237,-10.0028,75.0795,179.2606,115.3715,-173.1506,-103.3997,60.4089,-1.799580973
2,-30.9836,1891.0,-73.2122,-42.2761,-67.8134,125.5174,136.7564,105.834,50.4441,-59.0383,-54.5377,-44.4876,-65.3324,-176.1669,153.0284,1.3184,56.8306,163.4067,85.6483,-157.6487,-85.2061,61.837,-1.6566930919999998
2,-35.5881,1892.0,-67.5173,-64.513,-59.4557,129.229,129.7283,53.3499,58.6964,-54.9852,-67.4129,-47.2613,-61.5151,-170.1138,176.3196,-3.2859,62.6199,-174.7885,1.4502,-177.17,-94.7508,73.6121,-1.9028957069999997
2,-31.4899,1893.0,-75.737,-2.3938,-56.1162,127.1898,164.1944,179.9752,55.3543,-57.6207,-50.5163,-43.6838,-56.9776,-167.571,-100.6802,2.0826,59.5799,160.7477,58.4927,-173.6495,-79.1344,64.4783,-1.6837649529999998
2,-43.9326,1894.0,-72.1934,-67.5828,-60.0274,127.0247,161.9615,172.945,42.4931,57.9062,-68.2085,-45.4708,-65.6451,173.0724,-78.3696,-8.3114,69.1759,-173.2956,1.3449,-175.0584,-78.0912,67.5405,-2.349076122
2,-53.5143,1895.0,-57.4781,-21.1229,-60.5306,127.1055,169.4275,-59.7603,27.4926,62.6065,-66.3522,-52.4133,-59.4255,-158.0247,-70.2517,-3.5939,89.589,178.1734,5.9777,-160.0412,-96.8896,57.7107,-2.861409621
2,-22.9978,1896.0,-52.303,-45.1266,-62.2386,129.4726,149.5783,-73.47,54.3577,59.7757,-54.3534,-51.3336,-65.2999,175.3201,109.5639,8.026,58.8897,-177.2342,23.6422,-169.5399,-94.2202,59.8906,-1.229692366
2,-30.639100000000003,1897.0,-60.8665,-110.5916,-73.871,122.4199,178.6472,-46.2318,62.1297,52.2359,-60.3462,-55.8312,-162.7748,173.5678,104.5868,-2.4775,56.2408,177.8846,36.7663,-162.8114,-90.5183,66.8427,-1.638272677
2,-34.9812,1898.0,-60.1776,-70.569,-62.3351,132.6707,158.9274,-67.0857,49.2854,68.3717,-64.0316,-70.4306,-170.3206,-170.1805,65.2199,22.7169,64.6601,167.2011,16.6785,170.5123,-85.5919,54.8097,-1.870444764
2,-45.5985,1899.0,-49.928,-112.8604,-62.2077,133.3557,168.6303,-1.0173,80.741,55.664,-51.6682,-87.5217,171.0072,-179.1349,98.6695,-20.7697,74.6925,179.0666,124.3378,172.2195,-69.9795,64.4551,-2.438151795
2,-32.5615,1900.0,-76.4403,-167.7693,-61.9559,131.871,178.801,-81.1626,78.3452,63.7054,-58.1109,-69.3996,165.1833,-165.7895,69.4927,-7.4276,53.6636,172.2838,112.1494,165.0901,-71.6694,62.8962,-1.741063405
2,-31.4004,1901.0,-79.4322,176.8031,-77.7858,128.7821,161.1692,-94.4084,61.6977,63.8261,-57.8421,-60.4934,161.167,-178.2481,115.466,-2.8952,59.8129,-179.6863,110.5537,179.0721,-82.4602,65.2626,-1.678979388
2,-40.8653,1902.0,-67.7264,132.6681,-54.0572,128.0821,176.8347,69.2556,40.8473,66.2886,-59.0322,-67.4773,162.5628,-166.0682,154.8104,-10.4161,64.8436,-171.0924,124.9637,172.5695,-89.2013,50.2619,-2.1850675909999997
2,-36.9027,1903.0,-83.0989,134.3361,-72.2101,137.103,165.4026,-39.6946,150.3317,77.5609,-66.0835,-56.8491,170.6629,-177.7188,84.3936,-12.8333,71.797,173.7052,135.4791,167.8985,-80.6614,64.7682,-1.9731873690000001
2,-37.2411,1904.0,-68.6972,112.5358,-71.0277,131.9784,172.7293,35.503,168.8471,47.1017,-74.4614,-47.2687,175.5537,178.2964,-69.8713,-6.4879,57.5021,-168.2849,89.6044,174.0503,-75.0215,61.3565,-1.991281617
2,-50.403,1905.0,-63.584,99.8821,-61.8713,129.5847,164.0015,-105.4885,173.4132,49.6414,-64.5069,-61.621,138.0021,-170.6313,62.4404,3.1156,59.7999,171.5701,123.3644,-177.6323,-100.2715,56.8527,-2.6950484099999996
2,-35.1454,1906.0,-81.336,103.4841,-57.1364,120.8658,168.787,-104.0818,165.558,46.8038,-66.4271,-58.121,160.2276,-166.0734,-163.2829,-9.0369,59.3766,169.6029,119.4316,-165.302,-88.9455,59.962,-1.879224538
2,-34.1415,1907.0,-86.1393,122.5087,-66.4418,122.2462,179.0394,-29.0916,165.0372,63.4197,-62.1047,-53.0639,-158.7031,-50.8195,-166.7861,2.7088,49.8015,170.5624,108.5525,175.6316,-71.8559,69.1751,-1.8255460049999999
2,-40.5914,1908.0,-82.2369,-158.5599,-71.3541,124.371,-177.5197,-66.347,172.1677,38.0589,-58.3624,-65.9607,-179.4738,-79.2977,160.4867,0.2017,71.1684,174.1283,139.7033,177.0714,-52.8355,48.9252,-2.170422158
2,-36.3746,1909.0,-59.9365,137.1905,-67.2614,128.2323,-173.119,-80.5283,173.6886,40.0908,-67.0203,-65.0432,179.807,-74.0356,106.3178,8.8124,74.6347,175.1644,-151.2653,-167.254,-73.0016,71.2444,-1.9449498619999999
2,-53.7343,1910.0,-51.7837,123.4011,-57.0607,121.4089,151.0817,-40.8265,171.2518,41.1406,-60.5316,-62.9271,-173.4085,-56.9491,-173.2081,-0.1031,71.1456,169.0786,-152.1874,-151.4565,-70.0575,60.6087,-2.8731730209999995
2,-26.9502,1911.0,-90.4444,142.1726,-65.6688,135.7388,158.9342,46.9523,167.0476,61.8044,-73.1952,-69.8676,178.8776,-72.2671,135.9609,-1.8567,68.4071,157.842,-61.1457,178.3653,-86.8503,63.8748,-1.441027194
2,-35.2062,1912.0,-66.1957,133.3503,-72.796,129.4278,166.8071,-76.2619,169.9394,59.4686,-79.6305,-62.9312,-171.6845,-120.0956,154.5745,-2.114,73.1114,173.952,-88.5707,-179.6811,-83.4448,65.125,-1.882475514
2,-32.445,1913.0,-71.3459,131.0691,-81.8308,118.2929,163.1507,-68.3628,173.6047,52.1465,-67.4706,-39.9135,159.0665,-163.5974,-120.3135,-9.7831,68.5197,163.005,-112.7331,170.0922,-102.6292,58.044,-1.73483415
2,-33.6788,1914.0,-59.8846,134.6241,-67.8605,127.126,179.7469,-73.954,166.6643,72.9714,-46.2778,-55.9102,168.4664,179.3778,79.289,17.3034,42.7183,-173.163,164.0725,-179.9843,-74.9734,70.3131,-1.800805436
2,-37.5826,1915.0,-80.8767,93.8648,-76.4832,133.4091,170.3187,-86.0923,174.4431,71.9478,-69.6926,-46.062,154.2312,176.7958,84.784,1.2244,74.9215,164.6558,-133.9487,176.4707,-71.5282,59.7274,-2.009541622
2,-47.5039,1916.0,-78.6066,86.7775,-53.5389,123.5,171.0308,-33.9376,175.8297,63.3181,-62.1256,-68.3405,177.2058,-82.6168,140.052,-9.9292,41.3996,173.612,-128.9123,-170.3461,-81.0461,59.3984,-2.540033533
2,-32.1151,1917.0,-55.5295,109.4062,-69.2145,129.396,154.8815,56.2892,176.4003,56.0198,-66.1935,-66.7819,163.4885,-64.1122,-146.737,13.8504,59.7549,-162.8262,-163.2012,-162.7938,-85.9536,57.576,-1.7171943969999999
2,-38.7195,1918.0,-66.51,127.865,-58.166,121.3002,-179.3086,-31.0591,166.9729,59.6585,-62.4133,-57.0984,173.1089,-95.2518,138.663,11.1829,73.2058,-164.2887,167.8711,-177.3745,-72.5237,49.4041,-2.070331665
2,-27.471000000000004,1919.0,-59.26,134.8389,-61.8282,130.5519,156.08,-97.8051,170.3867,78.4726,-69.499,-64.5125,-174.8313,-45.6849,-171.1486,-6.6872,74.851,-176.6183,130.7362,-162.9724,-49.8428,66.8461,-1.4688743700000002
2,-29.1554,1920.0,-62.1458,104.6429,-64.9109,124.8716,171.0956,-14.0771,166.5841,67.7833,-67.0112,-64.7445,178.6419,-92.9068,158.6679,-4.9731,61.6369,164.7305,120.2932,-172.2449,-49.1242,59.4206,-1.558939238
2,-46.55230000000001,1921.0,-76.2834,110.5001,-74.4383,124.5885,-179.0492,-42.2301,171.5076,50.2101,-56.6929,-66.7457,173.3098,-75.3558,99.5861,0.7072,70.802,165.7061,105.1211,-158.0032,-68.5991,58.4685,-2.4891514810000004
2,-39.9983,1922.0,-59.2057,96.7702,-62.6993,129.084,167.5081,86.9052,-179.4485,56.7346,-42.7472,-47.6912,174.4662,-69.6636,-177.7022,-5.7686,78.5419,164.6764,102.0645,-158.9003,-62.1537,49.2243,-2.138709101
2,-33.2007,1923.0,-67.9533,84.2415,-58.3729,135.9705,174.3523,-20.5537,163.9473,66.426,-58.6695,-70.1932,162.531,-60.9515,171.8781,-5.9329,71.6838,-170.758,116.1729,174.2733,-86.5577,34.0141,-1.7752414289999998
2,-30.068000000000005,1924.0,-59.0205,118.9536,-51.9685,132.5743,165.4243,-83.8437,-169.1965,59.532,-59.3983,-72.9051,171.9408,-71.9395,-107.0047,-6.4913,48.6935,170.7997,105.6302,-177.1978,-82.2187,46.0254,-1.60773596
2,-31.8209,1925.0,-84.7803,164.752,-75.5277,123.2346,154.7531,101.5491,175.4601,46.026,-57.9636,-60.1115,163.6465,-57.6824,167.6149,-1.7939,47.4847,171.9638,118.1745,-174.8949,-81.2968,54.5604,-1.701463523
2,-27.926100000000005,1926.0,-71.5177,169.8034,-59.4704,125.9114,162.6332,68.6895,134.014,63.5962,-61.4629,-67.3848,162.8147,-87.8893,-73.2205,-6.4994,56.7878,177.0928,104.8887,-167.2194,-70.8538,66.9189,-1.4932085670000002
2,-36.0918,1927.0,-80.7457,145.669,-53.6225,127.8022,169.2832,178.1582,168.8882,54.3186,-59.383,-77.1026,179.6085,-47.0317,-91.2084,31.4184,64.2059,168.4494,158.9406,176.2575,-52.3769,61.3954,-1.9298285459999998
2,-41.2106,1928.0,173.9283,-163.0263,-67.3942,124.4333,170.7565,124.9211,159.8949,68.0348,-57.4522,-68.9096,-165.8314,-55.0511,-159.7415,-0.7192,70.3734,142.8636,112.4828,-178.2155,-64.0762,63.4371,-2.2035307819999996
2,-31.6306,1929.0,-177.4552,-111.6281,-69.3424,122.8899,-171.8554,96.6751,160.6638,51.1642,-68.5116,-65.179,175.4184,-54.0619,140.9554,-0.3997,57.9054,179.6438,67.982,-162.1338,-63.4302,67.224,-1.6912881819999999
2,-38.9406,1930.0,169.3675,-72.0332,-65.4817,125.9046,171.8955,-24.3827,149.8138,48.379,-66.8589,-52.5888,-172.1183,-52.8757,-175.976,-3.8004,63.7864,-173.6922,12.0469,-161.7772,-67.6284,73.8333,-2.082153882
2,-40.4715,1931.0,-172.5571,-128.3044,-75.6698,132.2846,176.9988,-62.6125,157.2497,68.0648,-53.4472,-48.6919,165.901,57.5887,120.3781,-3.8116,61.138,165.0966,18.469,176.5621,-85.982,69.7247,-2.1640111049999997
2,-40.5261,1932.0,-171.2647,-116.9684,-79.6769,129.6605,175.5814,-64.5998,164.8548,73.1808,-63.5881,-51.2281,-176.5928,81.5812,93.6516,-3.6333,61.9117,167.5923,31.5097,167.5291,-64.5454,64.6602,-2.1669305669999996
2,-36.917,1933.0,-168.0084,-97.9918,-62.0324,121.1106,150.6568,-63.1765,175.2844,65.2492,-81.3173,-51.5997,157.8341,68.9163,94.9132,-1.0355,67.8471,172.8104,13.0707,179.0196,-86.7423,56.5313,-1.97395199
2,-48.005100000000006,1934.0,-65.0237,154.1357,-62.1894,114.5207,158.7003,-66.7892,-173.7811,70.7594,-64.2455,-49.2722,169.1064,59.0867,98.7683,-9.8428,71.9186,165.7508,10.6076,178.4544,-83.7007,67.289,-2.566832697
2,-40.7967,1935.0,-70.6382,164.4568,-91.6209,124.2972,159.4554,-56.0648,162.9972,63.901,-48.2201,-62.1989,143.5715,56.0449,91.8124,0.3575,52.1205,177.9881,28.5079,-175.1217,-67.4044,65.8425,-2.181399549
2,-42.3117,1936.0,-77.8798,-164.1363,-71.2661,130.7369,177.9894,-61.4338,177.9616,43.0537,-84.4536,-62.464,160.5247,64.0628,103.938,-0.084,54.684,-174.5773,-19.8247,178.5405,-89.5689,74.3425,-2.2624065989999997
2,-37.3976,1937.0,-80.9599,152.5966,-65.7283,123.8318,153.9025,-5.2309,175.1512,62.1783,-54.3362,-51.5315,-142.2688,-60.7655,165.0497,9.704,54.8935,172.49,23.5824,-166.5313,-89.3459,61.5195,-1.9996496719999997
2,-31.5991,1938.0,-69.813,153.2207,-61.849,121.3014,158.0068,-58.1001,176.0598,62.4706,-69.5184,-47.2598,-169.9868,-72.8717,-162.1496,33.9937,61.118,165.7457,10.3522,-168.5352,-79.2859,66.5624,-1.689603877
2,-41.1451,1939.0,-60.5899,-172.2744,-68.8055,125.4453,167.8547,-3.2951,162.151,60.1111,-62.7357,-63.7755,-162.6481,-60.2688,166.1683,27.328,61.8653,-175.7249,-21.9838,-162.9666,-73.6563,55.3846,-2.200028497
2,-25.9261,1940.0,-62.1677,128.5057,-72.2817,130.6385,177.6171,88.8771,170.9655,80.4048,-50.0324,-66.1481,-163.1672,-36.4228,-177.1129,-0.8249,70.4456,171.2082,28.2968,174.1021,-92.326,66.3004,-1.386268567
2,-33.2748,1941.0,-66.8957,117.4094,-69.1703,127.3161,152.4158,85.3096,160.5684,76.3044,-40.5977,-39.9677,-173.2368,-59.8121,139.4822,12.4611,50.5182,-177.8282,-4.1173,-178.2082,-64.0084,37.6335,-1.779203556
2,-37.3986,1942.0,-62.3273,167.4972,-82.5344,121.5004,171.6074,139.1729,159.6176,61.4256,-37.9526,-65.7368,-164.4344,-46.6852,173.9768,-7.8506,63.5178,177.1381,19.902,-167.7342,-55.8481,54.9816,-1.999703142
2,-35.996,1943.0,-69.1655,129.4759,-73.6045,128.5906,164.3335,95.9184,167.4249,65.7641,-79.2502,-57.4578,-166.7819,-69.8421,-148.4076,18.2583,70.7255,179.6421,5.1156,-175.4288,-65.3176,47.601,-1.92470612
2,-39.1278,1944.0,-81.2151,160.1144,-59.5304,128.1515,161.5842,-9.0797,168.498,52.8176,-49.0134,-59.7497,-154.9105,-64.3512,-163.964,0.2146,69.4938,171.9627,-5.2086,173.0255,-83.0296,56.3929,-2.0921634659999997
2,-33.8466,1945.0,-85.5949,-178.9326,-71.5179,121.9505,158.8774,-35.8642,-172.6791,49.3675,-59.0482,-73.5435,-178.1025,-61.2996,104.9038,4.2532,68.148,-174.7703,1.3214,-167.0971,-72.9628,51.0912,-1.809777702
2,-38.2269,1946.0,-64.1905,127.7026,-69.1608,127.54,162.3394,-26.9261,168.6309,59.0505,-66.0053,-59.2616,179.2381,-51.8733,164.2777,-3.1939,71.4318,-177.9608,-4.1058,-157.8668,-76.9686,51.5354,-2.0439923429999998
2,-37.6523,1947.0,-64.4533,145.7926,-65.6322,131.8643,165.9367,-104.2932,175.5775,79.1978,-74.061,-80.4592,-175.3979,-40.3213,155.2468,7.7162,87.6306,-178.1924,-15.1927,174.0087,-46.7523,62.4952,-2.013268481
2,-31.107,1948.0,-72.9297,168.7936,-82.182,137.7224,156.1485,-6.3086,160.4854,77.6394,-56.5053,-49.6907,-149.6811,-66.176,173.6147,-8.1369,59.2514,172.5092,-18.6887,-165.6637,-74.7934,55.9294,-1.6632912899999999
2,-43.727,1949.0,-66.7921,145.1514,-84.983,131.2354,175.8535,-37.1385,173.445,56.7095,-68.2228,-78.8491,165.2543,53.1516,127.3565,-16.581,75.3579,165.0781,24.6663,171.8787,-95.4017,68.0077,-2.33808269
2,-33.345,1950.0,-60.6435,135.7297,-55.3619,125.3934,156.8755,-18.2164,163.7806,65.2171,-55.2266,-69.5187,154.2839,71.3938,79.491,5.1564,57.1408,179.4956,-3.9057,-178.7717,-72.0469,59.4714,-1.7829571499999999
2,-34.3754,1951.0,-75.9984,178.0549,-79.6432,120.1858,158.8305,-20.666,179.274,56.5944,-61.5373,-57.3875,153.2732,32.1563,122.5123,-3.6677,58.1358,158.2086,42.0837,173.8866,-67.6284,64.4089,-1.8380526379999997
2,-51.966800000000006,1952.0,-58.8254,143.3519,-53.5267,123.9819,163.2522,-29.6534,165.8108,74.2015,-51.1745,-64.0291,152.1392,52.7459,95.5725,9.1632,63.8406,-174.6793,-24.1753,-168.3548,-57.6459,62.3532,-2.778664796
2,-48.9817,1953.0,-73.8338,-162.9638,-72.3239,128.607,162.3848,-88.8798,168.8023,70.9514,-50.8877,-84.4679,149.9833,55.8675,106.6494,10.4523,44.0048,176.777,-57.878,175.8431,-79.3774,57.9028,-2.619051499
2,-40.3002,1954.0,-82.1453,89.2222,-62.6356,127.4896,161.8368,-103.6031,168.1638,64.3358,-45.4724,-62.4195,-165.0865,-37.8638,149.6572,10.9378,58.5612,-176.5126,-56.3591,-175.8405,-70.4609,52.9562,-2.1548516939999995
2,-31.9098,1955.0,-73.5477,98.4577,-75.6347,123.367,155.3363,12.6797,159.1543,49.2519,-55.7451,-54.7249,-154.3168,-69.2854,172.8768,27.9653,60.1916,164.7183,-57.3444,174.3785,-54.48,54.0381,-1.706217006
2,-24.8673,1956.0,-65.8287,169.8866,-61.0857,128.9665,164.5715,74.0195,172.1902,44.4177,-64.6652,-62.8169,-172.6529,-34.2888,125.7101,7.7285,54.488,166.5539,-107.6761,-174.4397,-33.7431,65.8531,-1.3296545309999999
2,-30.6254,1957.0,-70.017,158.0826,-69.8898,130.7539,176.8891,107.0601,175.1836,50.6087,-48.9213,-38.0075,-173.8714,-60.8311,160.746,2.2782,78.5692,174.6123,-97.5223,-148.0588,-65.232,50.1412,-1.6375401379999999
2,-32.9298,1958.0,-77.6796,177.9735,-67.9545,123.0298,156.4385,-34.1647,168.2457,62.3233,-38.9302,-68.8495,-155.411,-60.4062,-179.0384,-1.0076,74.6079,172.5537,-82.4622,179.347,-77.5506,56.5548,-1.7607564059999998
